split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
physical_consequence_shift,uniform_attention_budget,0,168,0.25000,0.20051,0.62887,3.99043,0.44048,0.30952,0.46724,0.07003
physical_consequence_shift,uniform_attention_budget,1,168,0.33333,0.20498,0.62460,3.97648,0.42857,0.24405,0.46740,0.07009
physical_consequence_shift,uniform_attention_budget,2,168,0.31548,0.20839,0.59702,3.98478,0.40476,0.32738,0.46601,0.07051
physical_consequence_shift,uniform_attention_budget,3,168,0.30357,0.19986,0.62024,3.98359,0.41071,0.29762,0.46635,0.06880
physical_consequence_shift,uniform_attention_budget,4,168,0.34524,0.20834,0.60139,3.98325,0.40476,0.37500,0.46546,0.07096
physical_consequence_shift,uniform_attention_budget,5,168,0.30357,0.21892,0.58353,3.99650,0.45833,0.30357,0.46093,0.07288
physical_consequence_shift,uniform_attention_budget,6,168,0.27976,0.21248,0.61696,4.00944,0.48214,0.29167,0.46027,0.06992
tight_compute_budget,active_perception_value,0,168,0.64286,0.53131,0.16141,3.28368,0.35714,0.19048,0.14573,0.13476
tight_compute_budget,active_perception_value,1,168,0.59524,0.53787,0.19782,3.27749,0.29762,0.11310,0.14179,0.13233
tight_compute_budget,active_perception_value,2,168,0.66071,0.50469,0.20863,3.29929,0.40476,0.15476,0.16100,0.13065
tight_compute_budget,active_perception_value,3,168,0.62500,0.53280,0.14385,3.28683,0.35714,0.17262,0.13870,0.13519
tight_compute_budget,active_perception_value,4,168,0.70238,0.54218,0.15059,3.28860,0.36310,0.10714,0.14167,0.13423
tight_compute_budget,active_perception_value,5,168,0.64881,0.51465,0.16270,3.30946,0.35714,0.13095,0.14779,0.13455
tight_compute_budget,active_perception_value,6,168,0.66071,0.54678,0.15496,3.28154,0.32143,0.14881,0.14043,0.13469
tight_compute_budget,compute_adaptive_policy,0,168,0.39286,0.33929,0.48621,3.27516,0.34524,0.23810,0.32903,0.09176
tight_compute_budget,compute_adaptive_policy,1,168,0.36310,0.33612,0.53125,3.28987,0.34524,0.22619,0.32289,0.08958
tight_compute_budget,compute_adaptive_policy,2,168,0.38095,0.32094,0.49881,3.27520,0.34524,0.22024,0.33856,0.08989
tight_compute_budget,compute_adaptive_policy,3,168,0.48810,0.34157,0.48611,3.28350,0.34524,0.23810,0.31725,0.09436
tight_compute_budget,compute_adaptive_policy,4,168,0.46429,0.33483,0.48175,3.28223,0.30357,0.29167,0.32430,0.09267
tight_compute_budget,compute_adaptive_policy,5,168,0.41071,0.32657,0.49940,3.30138,0.36905,0.27976,0.33572,0.08984
tight_compute_budget,compute_adaptive_policy,6,168,0.33929,0.35208,0.49385,3.26760,0.29167,0.23214,0.32986,0.08989
tight_compute_budget,embodied_consequence_budgeting,0,168,0.75595,0.61510,0.07331,3.27249,0.38095,0.10119,0.08832,0.14399
tight_compute_budget,embodied_consequence_budgeting,1,168,0.73810,0.64132,0.11498,3.30278,0.38095,0.09524,0.08747,0.13803
tight_compute_budget,embodied_consequence_budgeting,2,168,0.73810,0.60260,0.10218,3.29295,0.39881,0.10119,0.09447,0.14290
tight_compute_budget,embodied_consequence_budgeting,3,168,0.71429,0.60758,0.07540,3.28201,0.35714,0.09524,0.09178,0.14340
tight_compute_budget,embodied_consequence_budgeting,4,168,0.74405,0.61403,0.08313,3.29995,0.38095,0.13690,0.09322,0.14138
tight_compute_budget,embodied_consequence_budgeting,5,168,0.78571,0.59640,0.08155,3.28988,0.34524,0.12500,0.09641,0.14271
tight_compute_budget,embodied_consequence_budgeting,6,168,0.77381,0.61822,0.09177,3.28616,0.35714,0.08929,0.09185,0.14210
tight_compute_budget,oracle_consequence_attention,0,168,0.69048,0.61887,0.06984,3.28437,0.39881,0.08929,0.08421,0.14346
tight_compute_budget,oracle_consequence_attention,1,168,0.75000,0.65023,0.09792,3.29307,0.33333,0.13095,0.07761,0.13927
tight_compute_budget,oracle_consequence_attention,2,168,0.73810,0.61208,0.08581,3.28907,0.38095,0.09524,0.08532,0.14346
tight_compute_budget,oracle_consequence_attention,3,168,0.71429,0.61292,0.07044,3.28937,0.35119,0.10119,0.08521,0.14377
tight_compute_budget,oracle_consequence_attention,4,168,0.69048,0.61572,0.07044,3.28133,0.33333,0.11905,0.08534,0.14251
tight_compute_budget,oracle_consequence_attention,5,168,0.75000,0.61242,0.05823,3.27445,0.31548,0.11905,0.08567,0.14409
tight_compute_budget,oracle_consequence_attention,6,168,0.73214,0.62636,0.08056,3.28160,0.34524,0.06548,0.08257,0.14225
